Date,DailyAverage,Sales,Tweets
2019-03-08,135.555,20032.07,4431
2019-03-09,135.975,7800.73,3751
2019-03-10,136.14,9430.61,3626
2019-03-11,133.945,10675.41,4751
2019-03-12,132.035,12054.19,5027
2019-03-13,132.51999999999998,7433.86,4509
2019-03-14,132.64999999999998,6361.91,4392
2019-03-15,135.065,7200.26,3875
2019-03-16,140.35,10858.1,3520
2019-03-17,139.39,9676.4,3346
2019-03-18,139.365,6349.96,4349
2019-05-03,164.515,8838.53,4840
2019-05-04,162.81,8043.81,4598
2019-05-05,162.35,19462.19,3989
2019-05-06,177.18,5368.94,4825
2019-05-07,167.69,8061.18,5495
2019-05-08,171.76999999999998,5282.98,4816
2019-05-09,170.01,5593.37,3830
2019-05-10,175.09,15408.12,4272
2019-05-11,182.9,13299.66,5644
2019-05-12,188.19,3654.83,4824
2019-05-13,200.09,7223.3,5181
2019-05-14,220.125,4797.96,6042
2019-05-15,257.81,30228.58,6138
2019-05-16,260.26,11309.22,6416
2019-05-17,242.64499999999998,6738.12,5501
2019-05-18,240.655,9096.05,4450
2019-05-19,252.79000000000002,4244.23,4568
2019-05-20,251.915,6715.37,5212
2019-05-21,256.51,6925.88,5154
2019-05-22,243.465,8284.96,4842
2019-05-23,244.3,23598.43,4888
2019-05-24,249.49,11118.59,7457
2019-05-25,250.895,7491.95,7118
2019-05-26,266.69,9728.35,6179
2019-05-27,271.015,11073.48,6215
2019-05-28,269.07000000000005,6311.94,6006
2019-05-29,270.225,5849.15,5514
2019-05-30,256.3,9532.44,6116
2019-05-31,270.28999999999996,13012.23,5013
2019-06-01,266.08000000000004,7719.15,4189
2019-06-02,267.13,12658.74,3724
2019-06-03,246.07999999999998,10186.65,5160
2019-06-04,241.86,6095.88,5116
2019-06-05,245.76999999999998,11593.12,4563
2019-06-06,248.04500000000002,8702.08,4234
2019-06-07,249.44,6159.03,3814
2019-06-08,242.075,5841.66,3583
2019-06-09,231.01,6523.83,4142
2019-06-10,245.945,8279.96,4615
2019-06-11,243.69,4709.13,4973
2019-06-12,260.53,6545.73,7642
2019-06-13,254.275,7156.02,9811
2019-06-14,263.35,5500.71,8100
2019-06-15,267.87,7246.58,6299
2019-06-16,270.275,7687.87,8700
2019-06-17,271.815,9438.22,9308
2019-06-18,265.27,9400.25,7346
2019-06-19,268.19000000000005,7543.39,6837
2019-06-20,277.535,10592.49,6487
2019-06-21,298.715,10884.88,6497
2019-06-22,314.445,6877.84,5988
2019-06-23,303.205,16387.17,4915
2019-06-24,311.4,7800.22,6423
2019-06-25,317.83500000000004,2529.6,5481
2019-06-26,337.83,3741.47,6915
2019-06-27,301.055,4794.8,5920
2019-06-28,304.45,4843.37,5910
2019-06-29,320.735,6812.55,5903
2019-06-30,295.39,10878.42,4817
2019-07-01,291.845,3180.65,5281
2019-07-02,294.95000000000005,5111.07,5333
2019-07-03,299.505,5139.8,9184
2019-07-04,284.40999999999997,12776.53,6762
2019-07-05,289.765,6354.89,4967
2019-07-06,287.085,3541.89,4356
2019-07-07,304.255,8368.05,4347
2019-07-08,312.35,4358.34,5804
2019-07-09,309.36,5523.37,7138
2019-07-10,285.51,5158.17,8031
2019-07-11,270.725,5282.26,6569
2019-07-12,273.9,3308.18,5919
2019-07-13,268.65,2541.14,5733
2019-07-14,215.52499999999998,2828.76,5176
2019-07-15,231.39999999999998,2043.0,5909
2019-07-16,198.82999999999998,506.64,6359
2019-07-17,210.28,4627.84,6507
2019-07-18,224.145,3423.99,5894
2019-07-19,221.235,2860.87,5372
2019-07-20,226.865,3749.36,4475
2019-07-21,225.5,3167.87,4397
2019-07-22,215.95499999999998,1489.33,5911
2019-07-23,207.08,4138.34,5467
2019-07-24,219.04500000000002,2319.7,5089
2019-07-25,214.87,3461.29,4969
2019-07-26,220.125,4942.83,5190
2019-07-27,206.43,2192.88,4250
2019-07-28,211.425,2219.8,4264
2019-07-29,208.775,3641.12,5350
2019-07-30,209.815,1849.27,7717
